occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species
"IPB-2001IS-RN007-ST2-FN001","Tubificidae","Tubificidae","6962","EXACT","97","ACCEPTED","FAMILY","Animalia","Annelida","Clitellata","Haplotaxida","Tubificidae",,
"IPB-2001IS-RN007-ST2-FN003","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2001IS-RN007-ST2-FN005","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2001IS-RN007-ST2-FN006","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2001IS-RN007-ST2-FN007","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2001IS-RN007-ST2-FN009","Thiara","Thiara Röding, 1798","2300931","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Thiara",
"IPB-2001IS-RN007-ST2-FN011","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2001IS-RN007-ST3-FN001","Tubificidae","Tubificidae","6962","EXACT","97","ACCEPTED","FAMILY","Animalia","Annelida","Clitellata","Haplotaxida","Tubificidae",,
"IPB-2001IS-RN007-ST3-FN005","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2001JS-RN008-ST1-FN001","Thiara herklotzi","Thiara Röding, 1798","2300931","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Thiara",
"IPB-2001JS-RN008-ST1-FN002","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2001JS-RN008-ST2-FN001","Thiara herklotzi","Thiara Röding, 1798","2300931","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Thiara",
"IPB-2001JS-RN008-ST2-FN002","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2001JS-RN008-ST3-FN001","Thiara herklotzi","Thiara Röding, 1798","2300931","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Thiara",
"IPB-2001JS-RN008-ST3-FN002","Thiara scabra","Thiara scabra (O.F.Müller, 1774)","5782605","EXACT","99","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Mieniplotia","Mieniplotia scabra"
"IPB-2001JS-RN008-ST4-FN002","Thiara herklotzi","Thiara Röding, 1798","2300931","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Thiara",
"IPB-2001JS-RN008-ST4-FN003","Thiara scabra","Thiara scabra (O.F.Müller, 1774)","5782605","EXACT","99","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Mieniplotia","Mieniplotia scabra"
"IPB-2001JS-RN008-ST4-FN004","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2001JS-RN008-ST5-FN001","Thiara herklotzi","Thiara Röding, 1798","2300931","HIGHERRANK","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Thiara",
"IPB-2001JS-RN008-ST5-FN002","Thiara scabra","Thiara scabra (O.F.Müller, 1774)","5782605","EXACT","99","SYNONYM","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Mieniplotia","Mieniplotia scabra"
"IPB-2001JS-RN008-ST5-FN003","Melanoides tuberculata","Melanoides tuberculata (O.F.Müller, 1774)","4362965","EXACT","100","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides","Melanoides tuberculata"
"IPB-2001VP-RN009-ST1-FN004","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2001VP-RN009-ST2-FN002","Physa","Physa Draparnaud, 1801","9037827","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Physidae","Physa",
"IPB-2001VP-RN009-ST2-FN003","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2001VP-RN009-ST2-FN006","Melanoides","Melanoides Olivier, 1804","2300936","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Thiaridae","Melanoides",
"IPB-2001VP-RN009-ST2-FN016","Brotia","Brotia H.Adams, 1866","4617180","EXACT","96","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Pachychilidae","Brotia",
"IPB-2001VP-RN009-ST2-FN019","Planorbis","Planorbis Müller, 1774","5189719","EXACT","95","ACCEPTED","GENUS","Animalia","Mollusca","Gastropoda",,"Planorbidae","Planorbis",
