eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,remarks
IPB-2015YM-MF016-PN006,IPB-2015YM-MF016-PN006-VE0064,Human Observation,2014-05-20/2014-05-27,Animalia,Megophyrs nasuta,Species,Katak bertanduk hidung panjang,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL007,IPB-2015YM-MF016-SL007-VE0065,Human Observation,2014-05-20/2014-05-27,Animalia,Ansonia leptopus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL007,IPB-2015YM-MF016-SL007-VE0066,Human Observation,2014-05-20/2014-05-27,Animalia,Leptophyne borbonica,Species,Kodok jam pasir,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL007,IPB-2015YM-MF016-SL007-VE0067,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes ibanorum,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL007,IPB-2015YM-MF016-SL007-VE0068,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes kuhlii,Species,Bangkong tuli,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL007,IPB-2015YM-MF016-SL007-VE0069,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana erythraea,Species,Kongkang gading,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL007,IPB-2015YM-MF016-SL007-VE0070,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana nicobariensis,Species,Kongkang jangkrik,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-SL007,IPB-2015YM-MF016-SL007-VE0071,Human Observation,2014-05-20/2014-05-27,Animalia,Meristogenys phaeomerus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PN008,IPB-2015YM-MF016-PN008-VE0072,Human Observation,2014-05-20/2014-05-27,Animalia,Ansonia leptopus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PN008,IPB-2015YM-MF016-PN008-VE0073,Human Observation,2014-05-20/2014-05-27,Animalia,Ansonia spinulifer,Species,Katak ramping berduri,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PN008,IPB-2015YM-MF016-PN008-VE0074,Human Observation,2014-05-20/2014-05-27,Animalia,Leptophryne borbonica,Species,Kodok jam pasir,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PN008,IPB-2015YM-MF016-PN008-VE0075,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes kuhlii,Species,Bangkong tuli,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PN008,IPB-2015YM-MF016-PN008-VE0076,Human Observation,2014-05-20/2014-05-27,Animalia,Leptolalax gracilis,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PN008,IPB-2015YM-MF016-PN008-VE0077,Human Observation,2014-05-20/2014-05-27,Animalia,Leptolalax hamidi,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PN008,IPB-2015YM-MF016-PN008-VE0078,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana chalconata,Species,Kongkam kolam,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PN008,IPB-2015YM-MF016-PN008-VE0079,Human Observation,2014-05-20/2014-05-27,Animalia,Meristogenys phaemerus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-PN008,IPB-2015YM-MF016-PN008-VE0080,Human Observation,2014-05-20/2014-05-27,Animalia,Staurois natator,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-BZ009,IPB-2015YM-MF016-BZ009-VE0081,Human Observation,2014-05-20/2014-05-27,Animalia,Ansonia leptopus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-BZ009,IPB-2015YM-MF016-BZ009-VE0082,Human Observation,2014-05-20/2014-05-27,Animalia,Ansonia spinulifer,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-BZ009,IPB-2015YM-MF016-BZ009-VE0083,Human Observation,2014-05-20/2014-05-27,Animalia,Ingerophyrnus divergens,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-BZ009,IPB-2015YM-MF016-BZ009-VE0084,Human Observation,2014-05-20/2014-05-27,Animalia,Leptophryne borbonica,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-BZ009,IPB-2015YM-MF016-BZ009-VE0085,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes kuhlii,Species,Bangkong tuli,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-BZ009,IPB-2015YM-MF016-BZ009-VE0086,Human Observation,2014-05-20/2014-05-27,Animalia,Limnonectes paramcrodon,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-BZ009,IPB-2015YM-MF016-BZ009-VE0087,Human Observation,2014-05-20/2014-05-27,Animalia,Hylarana chalconota,Species,Kongkam kolam,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-BZ009,IPB-2015YM-MF016-BZ009-VE0088,Human Observation,2014-05-20/2014-05-27,Animalia,Meristogenys phaeomerus,Species,,,,,ID,,,,Present,No individual count
IPB-2015YM-MF016-BZ009,IPB-2015YM-MF016-BZ009-VE0089,Human Observation,2014-05-20/2014-05-27,Animalia,Staurois natator,Species,,,,,ID,,,,Present,No individual count
